Point,J1,J2,J3,J4,J5,J6,X_mm,Y_mm,Z_mm,RX_rad,RY_rad,RX_deg,RY_deg
P186,189.000000,0.000000,189.000000,-180.000000,90.000000,0.000000,0.125229,436.585889,-1130.434304,2.058223277,0.000000000,117.927507,0.000000
P187,191.000000,0.000000,191.000000,-180.000000,91.000000,0.000000,0.124585,441.387840,-1127.198217,2.046048191,-0.000002139,117.229926,-0.000123
P188,192.000000,0.000000,192.000000,-180.000000,92.000000,0.000000,0.124054,442.763730,-1124.172259,2.031238413,-0.000004273,116.381388,-0.000245
P189,194.000000,0.000000,194.000000,-180.000000,92.000000,0.000000,0.123831,449.698746,-1123.616472,2.036534511,-0.000004264,116.684832,-0.000244
P190,195.000000,0.000000,195.000000,-180.000000,93.000000,0.000000,0.123301,451.108815,-1120.540510,2.021733902,-0.000006388,115.836820,-0.000366
P191,197.000000,0.000000,197.000000,-180.000000,93.000000,0.000000,0.123080,458.059590,-1119.923614,2.027048793,-0.000006375,116.141341,-0.000365
P192,198.000000,0.000000,198.000000,-180.000000,94.000000,0.000000,0.122552,459.504086,-1116.797396,2.012257810,-0.000008488,115.293880,-0.000486
P193,200.000000,0.000000,200.000000,-180.000000,95.000000,0.000000,0.121915,464.466385,-1113.294183,2.000139131,-0.000010584,114.599531,-0.000606
P194,202.000000,0.000000,202.000000,-180.000000,95.000000,0.000000,0.121698,471.439028,-1112.576426,2.005487425,-0.000010563,114.905965,-0.000605
P195,203.000000,0.000000,203.000000,-180.000000,96.000000,0.000000,0.121172,472.955435,-1109.356068,1.990713546,-0.000012655,114.059484,-0.000725
P196,205.000000,0.000000,205.000000,-180.000000,97.000000,0.000000,0.120540,478.001257,-1105.707486,1.978629892,-0.000014725,113.367142,-0.000844
P197,206.000000,0.000000,206.000000,-180.000000,97.000000,0.000000,0.120434,481.496147,-1105.302753,1.981320230,-0.000014711,113.521287,-0.000843
P198,209.000000,0.000000,209.000000,-180.000000,98.000000,0.000000,0.119699,490.089082,-1101.132630,1.971960722,-0.000016749,112.985027,-0.000960
P199,0.000000,61.000000,61.000000,-180.000000,39.000000,0.000000,-110.394638,-139.479482,-1165.040554,2.377086109,-0.070986667,136.197002,-4.067236
P200,0.000000,63.000000,63.000000,-180.000000,40.000000,0.000000,-113.932038,-145.544448,-1163.454510,2.356795138,-0.072191603,135.034415,-4.136274
P201,0.000000,64.000000,64.000000,-180.000000,40.000000,0.000000,-115.779752,-147.140926,-1163.616779,2.355381291,-0.073300320,134.953407,-4.199799
P202,0.000000,66.000000,66.000000,-180.000000,41.000000,0.000000,-119.307148,-153.163335,-1161.933484,2.335083349,-0.074395127,133.790421,-4.262527
P203,0.000000,67.000000,67.000000,-180.000000,42.000000,0.000000,-120.976628,-157.548535,-1160.032079,2.316201499,-0.074325392,132.708570,-4.258531
P204,0.000000,69.000000,69.000000,-180.000000,42.000000,0.000000,-124.673029,-160.737933,-1160.297774,2.313360742,-0.076466976,132.545807,-4.381235
P205,0.000000,70.000000,70.000000,-180.000000,43.000000,0.000000,-126.330589,-165.078137,-1158.319542,2.294477013,-0.076303614,131.463849,-4.371875
P206,0.000000,72.000000,72.000000,-180.000000,43.000000,0.000000,-130.029251,-168.266691,-1158.548454,2.291627742,-0.078405102,131.300598,-4.492281
P207,0.000000,73.000000,73.000000,-180.000000,44.000000,0.000000,-131.674513,-172.560549,-1156.494455,2.272742650,-0.078146505,130.218562,-4.477465
P208,0.000000,75.000000,75.000000,-180.000000,45.000000,0.000000,-135.158405,-178.402277,-1154.472664,2.252429982,-0.078840674,129.054732,-4.517238
P209,0.000000,76.000000,76.000000,-180.000000,45.000000,0.000000,-137.007998,-179.994266,-1154.557941,2.250998935,-0.079852160,128.972739,-4.575192
P210,0.000000,78.000000,78.000000,-180.000000,46.000000,0.000000,-140.480005,-185.786500,-1152.444178,2.230681722,-0.080427891,127.808648,-4.608179
P211,0.000000,79.000000,79.000000,-180.000000,46.000000,0.000000,-142.330653,-187.377812,-1152.511148,2.229246451,-0.081418753,127.726413,-4.664951
P212,0.000000,81.000000,81.000000,-180.000000,47.000000,0.000000,-145.790418,-193.119186,-1150.306569,2.208925316,-0.081874464,126.562098,-4.691061
P213,0.000000,82.000000,82.000000,-180.000000,48.000000,0.000000,-147.387863,-197.221821,-1147.984969,2.190044292,-0.081277964,125.480295,-4.656884
P214,0.000000,84.000000,84.000000,-180.000000,48.000000,0.000000,-151.089281,-200.398910,-1148.061033,2.187161441,-0.083178721,125.315120,-4.765790
P215,0.000000,85.000000,85.000000,-180.000000,49.000000,0.000000,-152.672853,-204.449026,-1145.669171,2.168281911,-0.082480616,124.233402,-4.725791
P216,0.000000,87.000000,87.000000,-180.000000,49.000000,0.000000,-156.376248,-207.624275,-1145.708787,2.165390824,-0.084339071,124.067755,-4.832273
P217,0.000000,88.000000,88.000000,-180.000000,50.000000,0.000000,-157.945641,-211.620664,-1143.247874,2.146513487,-0.083538151,122.986163,-4.786383
P218,0.000000,90.000000,90.000000,-180.000000,51.000000,0.000000,-161.354330,-217.150989,-1140.731222,2.126191125,-0.083561512,121.821778,-4.787722
P219,0.000000,91.000000,91.000000,-180.000000,51.000000,0.000000,-163.205908,-218.735393,-1140.722340,2.124739819,-0.084449134,121.738624,-4.838579
P220,0.000000,93.000000,93.000000,-180.000000,52.000000,0.000000,-166.600841,-224.208645,-1138.120879,2.104416995,-0.084346215,120.574212,-4.832682
P221,0.000000,94.000000,94.000000,-180.000000,52.000000,0.000000,-168.453353,-225.791902,-1138.093852,2.102961742,-0.085212212,120.490832,-4.882300
P222,0.000000,96.000000,96.000000,-180.000000,53.000000,0.000000,-171.834249,-231.206871,-1135.408873,2.082639272,-0.084981879,119.326441,-4.869103
P223,0.000000,97.000000,97.000000,-180.000000,54.000000,0.000000,-173.349810,-234.985192,-1132.707471,2.063779885,-0.083820548,118.245877,-4.802564
P224,0.000000,99.000000,99.000000,-180.000000,54.000000,0.000000,-177.054284,-238.144415,-1132.596524,2.060858854,-0.085467316,118.078515,-4.896917
P225,75.000000,75.000000,75.000000,-180.000000,45.000000,0.000000,0.157138,-61.273760,-1212.971552,2.356385317,0.000091611,135.010934,0.005249
P226,76.000000,76.000000,76.000000,-180.000000,45.000000,0.000000,0.156976,-61.273998,-1214.013965,2.356384957,0.000091438,135.010913,0.005239
P227,78.000000,78.000000,78.000000,-180.000000,46.000000,0.000000,0.156397,-64.103623,-1214.100991,2.338930949,0.000089490,134.010872,0.005127
P228,79.000000,79.000000,79.000000,-180.000000,46.000000,0.000000,0.156238,-64.103858,-1215.142936,2.338930593,0.000089323,134.010852,0.005118
P229,81.000000,81.000000,81.000000,-180.000000,47.000000,0.000000,0.155659,-66.898185,-1215.179960,2.321476593,0.000087367,133.010811,0.005006
P230,82.000000,82.000000,82.000000,-180.000000,48.000000,0.000000,0.155234,-69.656135,-1214.126589,2.304022949,0.000085559,132.010791,0.004902
P231,84.000000,84.000000,84.000000,-180.000000,48.000000,0.000000,0.154923,-69.656594,-1216.209106,2.304022250,0.000085241,132.010751,0.004884
P232,85.000000,85.000000,85.000000,-180.000000,49.000000,0.000000,0.154496,-72.377558,-1215.107470,2.286568610,0.000083421,131.010731,0.004780
P233,87.000000,87.000000,87.000000,-180.000000,49.000000,0.000000,0.154189,-72.378010,-1217.189090,2.286567919,0.000083113,131.010691,0.004762
P234,88.000000,88.000000,88.000000,-180.000000,50.000000,0.000000,0.153760,-75.061160,-1216.039850,2.269114282,0.000081282,130.010672,0.004657
P235,90.000000,90.000000,90.000000,-180.000000,51.000000,0.000000,0.153176,-77.705902,-1215.884267,2.251660307,0.000079287,129.010632,0.004543
P236,91.000000,91.000000,91.000000,-180.000000,51.000000,0.000000,0.153027,-77.706122,-1216.924418,2.251659967,0.000079142,129.010613,0.004534
P237,93.000000,93.000000,93.000000,-180.000000,52.000000,0.000000,0.152443,-80.311424,-1216.722156,2.234205999,0.000077142,128.010574,0.004420
P238,94.000000,94.000000,94.000000,-180.000000,52.000000,0.000000,0.152296,-80.311641,-1217.761876,2.234205663,0.000077001,128.010555,0.004412
P239,96.000000,96.000000,96.000000,-180.000000,53.000000,0.000000,0.151713,-82.876708,-1217.513645,2.216751703,0.000074997,127.010517,0.004297
P240,97.000000,97.000000,97.000000,-180.000000,54.000000,0.000000,0.151272,-85.400550,-1216.181288,2.199298078,0.000073116,126.010498,0.004189
P241,99.000000,99.000000,99.000000,-180.000000,54.000000,0.000000,0.150985,-85.400974,-1218.259464,2.199297417,0.000072852,126.010460,0.004174
P242,101.000000,101.000000,101.000000,-180.000000,55.000000,0.000000,0.150401,-87.883244,-1217.921750,2.181843469,0.000070836,125.010422,0.004059
P243,102.000000,102.000000,102.000000,-180.000000,56.000000,0.000000,0.149956,-90.322770,-1216.502070,2.164389851,0.000068936,124.010404,0.003950
P244,104.000000,104.000000,104.000000,-180.000000,56.000000,0.000000,0.149676,-90.323183,-1218.578876,2.164389203,0.000068690,124.010367,0.003936
P245,105.000000,105.000000,105.000000,-180.000000,57.000000,0.000000,0.149230,-92.719428,-1217.116592,2.146935588,0.000066783,123.010348,0.003826
P246,107.000000,107.000000,107.000000,-180.000000,57.000000,0.000000,0.148954,-92.719835,-1219.192594,2.146934947,0.000066545,123.010311,0.003813
P247,108.000000,108.000000,108.000000,-180.000000,58.000000,0.000000,0.148506,-95.072070,-1217.688473,2.129481335,0.000064632,122.010293,0.003703
P248,110.000000,110.000000,110.000000,-180.000000,59.000000,0.000000,0.147920,-97.379782,-1217.181097,2.112027409,0.000062596,121.010257,0.003586
P249,111.000000,111.000000,111.000000,-180.000000,59.000000,0.000000,0.147786,-97.379980,-1218.218506,2.112027094,0.000062485,121.010239,0.003580
P250,113.000000,113.000000,113.000000,-180.000000,60.000000,0.000000,0.147201,-99.642259,-1217.670475,2.094573174,0.000060448,120.010203,0.003463
P251,114.000000,114.000000,114.000000,-180.000000,60.000000,0.000000,0.147068,-99.642455,-1218.707498,2.094572862,0.000060342,120.010185,0.003457
P252,116.000000,116.000000,116.000000,-180.000000,61.000000,0.000000,0.146484,-101.858613,-1218.119622,2.077118949,0.000058305,119.010149,0.003341
P253,117.000000,117.000000,117.000000,-180.000000,62.000000,0.000000,0.146029,-104.027786,-1216.456458,2.059665348,0.000056362,118.010132,0.003229
P254,119.000000,119.000000,119.000000,-180.000000,62.000000,0.000000,0.145770,-104.028167,-1218.529368,2.059664734,0.000056166,118.010096,0.003218
P255,120.000000,120.000000,120.000000,-180.000000,63.000000,0.000000,0.145314,-106.149886,-1216.828385,2.042211137,0.000054220,117.010079,0.003107
P256,122.000000,122.000000,122.000000,-180.000000,63.000000,0.000000,0.145060,-106.150262,-1218.900553,2.042210530,0.000054033,117.010044,0.003096
P257,123.000000,123.000000,123.000000,-180.000000,64.000000,0.000000,0.144603,-108.223881,-1217.162590,2.024756935,0.000052084,116.010027,0.002984
